Bain CM360 Report

Date/Time Generated,3/3/26 9:45 PM
Report Time Zone,Europe/London
Account ID,2558272
Date Range,1/1/25 - 2/28/26
MRC Accredited Metrics,"Clicks(Desktop Display, Desktop Rich Media, Desktop Video, In-App Display, In-App Rich Media, In-App Video, Mobile Display, Mobile Rich Media, Mobile Video)",Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Month,Campaign,Site (CM360),Placement,Placement ID,Impressions,Clicks
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_US_Subscribers_Display_Interscroller,413957983,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_CustomABM_Display_300x250,413954614,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_CustomABM_Display_300x600,413954608,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_CustomABM_Display_970x250,413954602,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_CustomABM_Display_Folio,413957968,5,2
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_Subcribers_Display_Folio,414120215,5,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_Subscribers_Display_300x250,413954578,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_Subscribers_Display_300x600,413954575,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_Subscribers_Display_970x250,413954569,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_CustomABM+Contextual_Display_300x250,413954632,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_CustomABM+Contextual_Display_300x600,413954626,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_CustomABM+Contexual_Display_970x250,413954620,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_CustomABM_Display_Folio,413957980,5,0
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_Subcribers_Display_Folio,413957959,6,6
