Bain CM360 Report

Date/Time Generated,4/8/26 6:02 PM
Report Time Zone,Europe/London
Account ID,2558272
Date Range,3/1/26 - 3/31/26
MRC Accredited Metrics,"Clicks(Desktop Display, Desktop Rich Media, Desktop Video, In-App Display, In-App Rich Media, In-App Video, Mobile Display, Mobile Rich Media, Mobile Video)",Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Month,Campaign,Site (CM360),Placement,Placement ID,Impressions,Clicks
2026-03,Bain Global Central Brand Campaign 2025,Nativo Inc.,Nativo_Global_Audience_Display_Burst 2_Macro_300x250 ,429407220,27,0
2026-03,Bain Global Central Brand Campaign 2025,Nativo Inc.,Nativo_Global_Audience_Display_Burst 2_Macro_300x600 ,428824015,29,0
2026-03,Bain Global Central Brand Campaign 2025,Nativo Inc.,Nativo_Global_Audience_Display_Burst 2_Macro_728x90,428820904,59,0
2026-03,Bain Global Central Brand Campaign 2025,Nativo Inc.,Nativo_Global_Audience_NativeArticle4_AI_UnstickingYourAITransformation_InFeedUnit,428374773,22,0
2026-03,Bain Global Central Brand Campaign 2025,Nativo Inc.,Nativo_Global_Audience_NativeArticle5_Macro_TarrifsNextChapter_ContentLandingPage,427821214,1,0
2026-03,Bain Global Central Brand Campaign 2025,Nativo Inc.,Nativo_Global_Audience_NativeArticle5_Macro_TarrifsNextChapter_InFeedUnit,427821808,9,82
2026-03,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_Takeover_Display_Macro_STLaggardsLeaders_Hero,429016895,2,0
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_APAC_CustomABM+Contextual_Display_300x250_Q4,430125364,11,3
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_APAC_CustomABM+Contextual_Display_300x600_Q4,430771542,9,5
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_APAC_CustomABM+Contextual_Display_970x250_Q4,430120366,9,3
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_APAC_Subscribers_Display_300x250_Q4,430125379,15,4
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_APAC_Subscribers_Display_300x600_Q4,430374383,16,5
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_APAC_Subscribers_Display_970x250_Q4,430121677,11,7
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier1_CustomABM+Contextual_Display_300x250_Q4,430766304,53,18
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier1_CustomABM+Contextual_Display_300x600_Q4,430771356,19,7
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier1_CustomABM+Contextual_Display_970x250_Q4,430366358,11,0
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier1_Subscribers_Display_300x250_Q4,430764759,15,18
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier1_Subscribers_Display_300x600_Q4,430770267,17,6
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier1_Subscribers_Display_970x250_Q4,430365869,16,11
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier2_CustomABM+Contextual_Display_300x250_Q4,430121878,12,5
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier2_CustomABM+Contextual_Display_300x600_Q4,430127506,14,9
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier2_CustomABM+Contextual_Display_970x250_Q4,430760745,12,0
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier2_Subscribers_Display_300x250_Q4,430123930,15,0
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier2_Subscribers_Display_300x600_Q4,430775178,6,6
2026-03,Bain Global Central Brand Campaign 2025 - Q4,FT,FT_EMEATier2_Subscribers_Display_970x250_Q4,430118761,10,3
